Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
MT350234,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1047,China: Nanchang,Homo sapiens,,2020-01
MT350236,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-03
MT350237,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,USA: VA,Homo sapiens,,2020-03
MT350238,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29826,USA: VA,Homo sapiens,,2020-03
MT350239,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: VA,Homo sapiens,,2020-03
MT350240,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: VA,Homo sapiens,,2020-03
MT350241,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: VA,Homo sapiens,,2020-03
MT350242,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-03
MT350243,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29856,USA: VA,Homo sapiens,,2020-03
MT350244,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29870,USA: VA,Homo sapiens,,2020-03
MT350245,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,USA: VA,Homo sapiens,,2020-03
MT350246,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29851,USA: VA,Homo sapiens,,2020-04
MT350247,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,USA: VA,Homo sapiens,,2020-03
MT350248,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-03
MT350249,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: VA,Homo sapiens,,2020-03
MT350250,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: VA,Homo sapiens,,2020-03
MT350251,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29887,USA: VA,Homo sapiens,,2020-03
MT350252,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,USA: VA,Homo sapiens,,2020-03
MT350253,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: VA,Homo sapiens,,2020-04
MT350254,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: VA,Homo sapiens,,2020-04
MT350255,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,USA: VA,Homo sapiens,,2020-04
MT350256,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA: VA,Homo sapiens,,2020-04
MT350257,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: VA,Homo sapiens,,2020-04
MT350263,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350264,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350265,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350266,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350267,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350268,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350269,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/20/2020
MT350270,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350271,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/20/2020
MT350272,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350273,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350274,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350275,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350276,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350277,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350278,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350279,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350280,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,oronasopharynx,3/19/2020
MT350282,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,Brazil,Homo sapiens,,3/18/2020
MT344135,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1152,Nigeria,Homo sapiens,oronasopharynx,4/9/2020
MT344944,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: CT,Homo sapiens,oronasopharynx,3/8/2020
MT344945,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: GA,Homo sapiens,oronasopharynx,3/7/2020
MT344946,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT344947,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: GA,Homo sapiens,oronasopharynx,2020-03
MT344948,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: HI,Homo sapiens,oronasopharynx,3/5/2020
MT344949,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: HI,Homo sapiens,oronasopharynx,3/7/2020
MT344950,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: IN,Homo sapiens,oronasopharynx,3/7/2020
MT344951,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: IN,Homo sapiens,,3/8/2020
MT344952,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: IN,Homo sapiens,oronasopharynx,3/9/2020
MT344953,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: MD,Homo sapiens,oronasopharynx,3/4/2020
MT344954,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: MN,Homo sapiens,oronasopharynx,3/5/2020
MT344955,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: OH,Homo sapiens,oronasopharynx,3/8/2020
MT344956,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: OH,Homo sapiens,oronasopharynx,3/7/2020
MT344957,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: PA,Homo sapiens,"lung, oronasopharynx",3/7/2020
MT344958,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: PA,Homo sapiens,oronasopharynx,3/7/2020
MT344959,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: PA,Homo sapiens,oronasopharynx,3/8/2020
MT344960,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: RI,Homo sapiens,oronasopharynx,3/9/2020
MT344961,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,USA: NV,Homo sapiens,oronasopharynx,3/7/2020
MT344962,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29877,USA: MN,Homo sapiens,oronasopharynx,3/7/2020
MT344963,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: NC,Homo sapiens,,3/8/2020
MT345798,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,USA: WA,Homo sapiens,,3/24/2020
MT345799,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29608,USA: WA,Homo sapiens,,3/23/2020
MT345800,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29689,USA: WA,Homo sapiens,,3/25/2020
MT345801,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29818,USA: WA,Homo sapiens,,3/25/2020
MT345802,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA,Homo sapiens,,3/21/2020
MT345803,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: ID,Homo sapiens,,3/21/2020
MT345804,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29594,USA: WA,Homo sapiens,,3/24/2020
MT345805,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29884,USA: WA,Homo sapiens,,3/23/2020
MT345806,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA: WA,Homo sapiens,,3/25/2020
MT345807,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29481,USA: WA,Homo sapiens,,3/25/2020
MT345808,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29687,USA: WA,Homo sapiens,,3/25/2020
MT345809,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: WA,Homo sapiens,,3/25/2020
MT345810,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29417,USA: WA,Homo sapiens,,3/25/2020
MT345811,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,USA: WA,Homo sapiens,,3/24/2020
MT345812,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29762,USA: WA,Homo sapiens,,3/25/2020
MT345813,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29445,USA: WA,Homo sapiens,,3/25/2020
MT345814,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29733,USA: WA,Homo sapiens,,3/24/2020
MT345815,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: WA,Homo sapiens,,3/24/2020
MT345816,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA,Homo sapiens,,3/23/2020
MT345817,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: ID,Homo sapiens,,3/24/2020
MT345818,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29625,USA: WA,Homo sapiens,,3/25/2020
MT345819,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: WA,Homo sapiens,,3/25/2020
MT345820,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29537,USA: WA,Homo sapiens,,3/25/2020
MT345821,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29617,USA: WA,Homo sapiens,,3/25/2020
MT345822,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29738,USA: WA,Homo sapiens,,3/25/2020
MT345823,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,USA: WA,Homo sapiens,,3/25/2020
MT345824,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,USA: WA,Homo sapiens,,3/25/2020
MT345825,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: WA,Homo sapiens,,3/25/2020
MT345826,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29839,USA: WA,Homo sapiens,,3/25/2020
MT345827,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: WA,Homo sapiens,,3/25/2020
MT345828,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,USA: ID,Homo sapiens,,3/23/2020
MT345829,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: WA,Homo sapiens,,3/25/2020
MT345830,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,USA: WA,Homo sapiens,,3/25/2020
MT345831,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29740,USA: ID,Homo sapiens,,3/23/2020
MT345832,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: WA,Homo sapiens,,3/25/2020
MT345833,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: WA,Homo sapiens,,3/25/2020
MT345834,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: WA,Homo sapiens,,3/26/2020
MT345835,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,USA: WA,Homo sapiens,,3/25/2020
MT345836,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: WA,Homo sapiens,,3/23/2020
MT345837,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29336,USA: WA,Homo sapiens,,3/23/2020
MT345838,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29659,USA: WA,Homo sapiens,,3/23/2020
MT345839,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29591,USA: WA,Homo sapiens,,3/23/2020
MT345840,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: WA,Homo sapiens,,3/24/2020
MT345841,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: WA,Homo sapiens,,3/24/2020
MT345842,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29696,USA: WA,Homo sapiens,,3/24/2020
MT345843,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29785,USA: WA,Homo sapiens,,3/24/2020
MT345844,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29776,USA: WA,Homo sapiens,,3/24/2020
MT345845,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,USA: WA,Homo sapiens,,3/24/2020
MT345846,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29869,USA: WA,Homo sapiens,,3/24/2020
MT345847,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: WA,Homo sapiens,,3/24/2020
MT345848,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,USA: WA,Homo sapiens,,3/24/2020
MT345849,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: WA,Homo sapiens,,3/24/2020
MT345850,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29808,USA: WA,Homo sapiens,,3/24/2020
MT345851,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29637,USA: WA,Homo sapiens,,3/25/2020
MT345852,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,USA: WA,Homo sapiens,,3/25/2020
MT345853,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,USA: WA,Homo sapiens,,3/25/2020
MT345854,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,USA: WA,Homo sapiens,,3/25/2020
MT345855,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,USA: WA,Homo sapiens,,3/25/2020
MT345856,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: WA,Homo sapiens,,3/25/2020
MT345857,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29641,USA: ID,Homo sapiens,,3/24/2020
MT345858,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: ID,Homo sapiens,,3/23/2020
MT345859,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29814,USA: WA,Homo sapiens,,3/25/2020
MT345860,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29779,USA: WA,Homo sapiens,,3/25/2020
MT345861,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,USA: WA,Homo sapiens,,3/25/2020
MT345862,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29888,USA: WA,Homo sapiens,,3/25/2020
MT345863,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29478,USA: ID,Homo sapiens,,3/23/2020
MT345864,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29295,USA: ID,Homo sapiens,,3/20/2020
MT345865,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA: WA,Homo sapiens,,3/25/2020
MT345866,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: ID,Homo sapiens,,3/23/2020
MT345867,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: WA,Homo sapiens,,3/23/2020
MT345868,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,USA: CT,Homo sapiens,,3/30/2020
MT345869,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29904,USA: CT,Homo sapiens,,3/30/2020
MT345870,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,USA: CT,Homo sapiens,,3/30/2020
MT345871,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: ID,Homo sapiens,,3/27/2020
MT345872,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,USA: ID,Homo sapiens,,3/27/2020
MT345873,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29907,USA: CT,Homo sapiens,,3/30/2020
MT345874,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29831,USA: CT,Homo sapiens,,3/30/2020
MT345875,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,USA: ID,Homo sapiens,,3/28/2020
MT345876,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29825,USA: ID,Homo sapiens,,3/28/2020
MT345877,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: ID,Homo sapiens,,3/27/2020
MT345878,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,USA: OR,Homo sapiens,,3/29/2020
MT345879,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: ID,Homo sapiens,,3/28/2020
MT345880,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,USA: ID,Homo sapiens,,3/28/2020
MT345881,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29835,USA: WA,Homo sapiens,,3/30/2020
MT345882,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: WA,Homo sapiens,,3/31/2020
MT345883,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,USA: WA,Homo sapiens,,3/31/2020
MT345884,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA: ID,Homo sapiens,,3/29/2020
MT345885,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,USA: ID,Homo sapiens,,3/30/2020
MT345886,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: ID,Homo sapiens,,3/27/2020
MT345887,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,USA: ID,Homo sapiens,,3/29/2020
MT345888,2020-04-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,USA: ID,Homo sapiens,,3/29/2020
MT339039,2020-04-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,"USA: Maricopa County, Arizona",Homo sapiens,oronasopharynx,3/17/2020
MT339040,2020-04-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,"USA: Maricopa County, Arizona",Homo sapiens,oronasopharynx,3/16/2020
MT339041,2020-04-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,"USA: Maricopa County, Arizona",Homo sapiens,oronasopharynx,3/17/2020
MT334522,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29798,USA: UT,Homo sapiens,,3/5/2020
MT334523,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: UT,Homo sapiens,,3/5/2020
MT334524,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/5/2020
MT334525,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: UT,Homo sapiens,,3/7/2020
MT334526,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,USA: UT,Homo sapiens,,3/7/2020
MT334527,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29813,USA: UT,Homo sapiens,,3/11/2020
MT334528,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,USA: UT,Homo sapiens,,3/12/2020
MT334529,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: UT,Homo sapiens,,3/10/2020
MT334530,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: UT,Homo sapiens,,3/11/2020
MT334531,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/12/2020
MT334532,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29875,USA: UT,Homo sapiens,,3/12/2020
MT334533,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: UT,Homo sapiens,,3/13/2020
MT334534,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29895,USA: UT,Homo sapiens,,3/13/2020
MT334535,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,USA: UT,Homo sapiens,,3/13/2020
MT334536,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: UT,Homo sapiens,,3/13/2020
MT334537,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: UT,Homo sapiens,,3/13/2020
MT334538,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: UT,Homo sapiens,,3/13/2020
MT334539,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29862,USA: UT,Homo sapiens,,3/14/2020
MT334540,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,USA: UT,Homo sapiens,,3/14/2020
MT334541,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29902,USA: UT,Homo sapiens,,3/11/2020
MT334542,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: UT,Homo sapiens,,3/11/2020
MT334543,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/16/2020
MT334544,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: UT,Homo sapiens,,3/19/2020
MT334545,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,USA: UT,Homo sapiens,,3/19/2020
MT334546,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: UT,Homo sapiens,,3/19/2020
MT334547,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,USA: UT,Homo sapiens,,3/19/2020
MT334548,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: UT,Homo sapiens,,3/20/2020
MT334549,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/12/2020
MT334550,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,USA: UT,Homo sapiens,,3/14/2020
MT334551,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: UT,Homo sapiens,,3/14/2020
MT334552,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29788,USA: UT,Homo sapiens,,3/23/2020
MT334553,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: UT,Homo sapiens,,3/24/2020
MT334554,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA: UT,Homo sapiens,,3/19/2020
MT334555,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29806,USA: UT,Homo sapiens,,3/20/2020
MT334556,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29847,USA: UT,Homo sapiens,,3/20/2020
MT334557,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29840,USA: UT,Homo sapiens,,3/20/2020
MT334558,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29811,USA: UT,Homo sapiens,,3/19/2020
MT334559,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,USA: UT,Homo sapiens,,3/24/2020
MT334560,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29797,USA: UT,Homo sapiens,,3/25/2020
MT334561,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29878,USA: UT,Homo sapiens,,3/26/2020
MT334562,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/25/2020
MT334563,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,USA: UT,Homo sapiens,,3/26/2020
MT334564,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/25/2020
MT334565,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/26/2020
MT334566,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/25/2020
MT334567,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,USA: UT,Homo sapiens,,3/26/2020
MT334568,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,USA: UT,Homo sapiens,,3/27/2020
MT334569,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,USA: UT,Homo sapiens,,3/27/2020
MT334570,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29886,USA: UT,Homo sapiens,,3/26/2020
MT334571,2020-04-14T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29803,USA: UT,Homo sapiens,,3/26/2020
